probe	chr	position	unadjusted_interaction_m	unadjusted_se	unadjusted_p	unadjusted_hc3_se	unadjusted_hc3_p	unadjusted_cluster_se	unadjusted_cluster_p	unadjusted_interaction_beta	cell_adjusted_interaction_m	cell_adjusted_se	cell_adjusted_p	cell_adjusted_hc3_se	cell_adjusted_hc3_p	cell_adjusted_cluster_se	cell_adjusted_cluster_p	cell_adjusted_interaction_beta	fully_adjusted_interaction_m	fully_adjusted_se	fully_adjusted_p	fully_adjusted_hc3_se	fully_adjusted_hc3_p	fully_adjusted_cluster_se	fully_adjusted_cluster_p	fully_adjusted_interaction_beta	fully_adjusted_linear_age_interaction_m	fully_adjusted_linear_age_se	fully_adjusted_linear_age_p	fully_adjusted_linear_age_hc3_se	fully_adjusted_linear_age_hc3_p	fully_adjusted_linear_age_cluster_se	fully_adjusted_linear_age_cluster_p	fully_adjusted_linear_age_interaction_beta	unadjusted_fdr	unadjusted_hc3_fdr	unadjusted_cluster_fdr	cell_adjusted_fdr	cell_adjusted_hc3_fdr	cell_adjusted_cluster_fdr	fully_adjusted_fdr	fully_adjusted_hc3_fdr	fully_adjusted_cluster_fdr	fully_adjusted_linear_age_fdr	fully_adjusted_linear_age_hc3_fdr	fully_adjusted_linear_age_cluster_fdr
cg00565090	19	47755001.0	-0.06348234995582769	0.013480090301021977	2.9783962966293623e-06	0.013413944028598175	2.6660959013503773e-06	0.013335411735361945	1.2293014498275084e-05	-0.010964376746651013	-0.044153939299005525	0.011199990677567655	8.857435607521433e-05	0.011210114644998796	8.98705409042561e-05	0.009588843421774783	2.1485295667691585e-05	-0.007633406054914869	-0.049595100646547194	0.008795788808910117	2.5638315787064476e-08	0.009352519918595998	1.5667358609148665e-07	0.009489506503864077	2.221621333620408e-06	-0.008575719557920207	-0.0023729499645571243	0.00042020939577237234	2.4451381189375306e-08	0.0004467978440527643	1.5010152214670573e-07	0.0004540259274096903	2.2203472532247174e-06	-0.00041032046224354275	0.03172642600364534	0.03721345852538999	0.0870585367177528	0.2961243236921875	0.472442430634383	0.23505087665554603	0.0008648295316029433	0.00576534583626093	0.06423389630620498	0.0008247919526649087	0.005523504039919089	0.06419705872871863
cg08280341	2	163737690.0	-0.1644520416898709	0.0297855568015528	4.692845959015787e-08	0.03087330833436669	1.3361199970120332e-07	0.029408351031985167	5.597726538383899e-07	-0.02003696498630091	-0.1636768853697736	0.029794922984906522	5.471169579642669e-08	0.031243820539146018	2.1258190388256715e-07	0.0295011701629959	6.613573929046112e-07	-0.02001176697733638	-0.16809798116110186	0.029798750053196113	2.5271545570913164e-08	0.032294300256553096	2.6060373932486424e-07	0.03154494827638482	1.5137412655193859e-06	-0.020743438058044458	-0.008041403150318293	0.0014231489782495557	2.3999701889240398e-08	0.001543385077343049	2.538907432721708e-07	0.0015066812791879574	1.4671775863681143e-06	-0.0009922105172261082	0.0017268947871166248	0.005814771227948383	0.020598768558060452	0.0024607071510627763	0.009561060088810797	0.03824374708172961	0.0008648295316029433	0.008790663617928044	0.05106139422339446	0.0008247919526649087	0.008564221394494925	0.050493085518284575
cg21121843	4	3202255.0	-0.15194155960924327	0.03102446819569871	1.1977526089691664e-06	0.03280439049274951	4.2977498963800485e-06	0.031250322580526756	8.505369140320825e-06	-0.022276809392889164	-0.1363234367842282	0.029796645096250362	5.603704696022125e-06	0.03221012835147138	2.612160072289243e-05	0.028447814958081467	1.0965689852792082e-05	-0.01972833627852783	-0.16621152863074912	0.029581347275239173	2.858826867107018e-08	0.03360955713653368	9.697602266053924e-07	0.030836413952730454	1.2023138597406463e-06	-0.024316164486200505	-0.007933786203985495	0.00141333664624543	2.94330295916887e-08	0.0016073158821770757	1.0154652506114117e-06	0.0014762848363277987	1.2767091291819261e-06	-0.0011604979365536217	0.020201245596515253	0.04663928709024451	0.08197211516015439	0.08724170761422784	0.2857724298760694	0.17712106305103517	0.0008901573198062924	0.03019557336969312	0.0486676211087398	0.0009164607705548099	0.0316186977337107	0.050493085518284575
cg01409343	17	59838379.0	-0.09254062265654311	0.028950628329458612	0.0014514269945180105	0.028952368257400087	0.001452380164529581	0.029706106157301244	0.0028004006659468742	-0.01264402629519318	-0.10806120016161952	0.023371312609800417	4.4687338896965394e-06	0.023315794742257374	4.24391401680302e-06	0.023233320158925822	1.8205672010696923e-05	-0.014868694331073878	-0.11537114888057759	0.022400021751180613	3.4530269629182894e-07	0.024032119937859347	1.965618722650883e-06	0.025538189705953646	2.9267298288821072e-05	-0.016111379215747526	-0.00552497500081224	0.001070093900773949	3.2373048821102674e-07	0.0011478144272141688	1.8481299346067508e-06	0.0012199589174238423	2.8128319381948655e-05	-0.0007714846310981643	0.3088630196868371	0.3836024475653875	0.44078242649738536	0.07235470040292137	0.09543690263686537	0.22717612991909425	0.007356455858583968	0.0568320745293423	0.3300473151180389	0.0068968735899749495	0.05343511280856603	0.3249097191535206
cg20953257	19	11178673.0	-0.11660545408300356	0.021295697130456797	6.016727725710798e-08	0.022091176547305302	1.7238188050234472e-07	0.0257526537373151	2.8220004659640862e-05	-0.012906013801845998	-0.09117497157598839	0.01949608947114632	3.4835979436231637e-06	0.0203524962986305	8.687610577224566e-06	0.023067677745776397	0.00020361141236955815	-0.010139353846532712	-0.09096262682483625	0.01694371916823675	1.1078186990648657e-07	0.019167821124519507	2.560615838257885e-06	0.02033025657539661	3.410079133183798e-05	-0.010120855230611271	-0.004350346331309022	0.000809395037155708	1.07139681882418e-07	0.0009154178302621593	2.4797643744237127e-06	0.0009712411525356293	3.351612387981691e-05	-0.00048413451470811337	0.0018734377684587644	0.005814771227948383	0.1075844549186438	0.0632151522708834	0.1528955248817692	0.5151152395824179	0.003203044117596954	0.06909958405716941	0.3300473151180389	0.0030977372751007717	0.06691776418482358	0.32958621874020483
cg02993564	8	142337489.0	-0.10455491426910796	0.020221586604834703	3.0236896056894373e-07	0.02048733640625264	4.265931461879506e-07	0.02056202582631361	3.756792514646778e-06	-0.01214209630867872	-0.08172871479196564	0.017169131607812683	2.338248941161895e-06	0.017684648144914713	4.515401734384213e-06	0.016636696704601963	7.075976272235862e-06	-0.009549525751240415	-0.07268165029562054	0.013920710550052603	2.399865072110948e-07	0.015397061313723818	2.885834683713338e-06	0.015059128190436652	9.681916600320636e-06	-0.008609863659988105	-0.003476105972269556	0.0006649746804033778	2.3226296064976322e-07	0.0007350075365528618	2.766766116715876e-06	0.0007194040767139248	9.490386242871381e-06	-0.00041174309224397917	0.006441779735051513	0.011262913535861268	0.06565500622353858	0.04732417105751677	0.0961977821183813	0.13639213825735472	0.0055106959088873685	0.06915769236203817	0.17039457596641686	0.005684970594400672	0.06998587550557336	0.16702378324122638
cg13781414	9	136059802.0	-0.0993124968262179	0.020763008435511435	2.091143908377227e-06	0.020730404025584667	2.016561718375398e-06	0.019962445089018302	5.630861156012172e-06	-0.011593489798636197	-0.08155725234325945	0.020033047644609208	5.1968801952025716e-05	0.019643084442171572	3.6913946003476343e-05	0.019449606370969135	9.041231588369038e-05	-0.009586009068367624	-0.0824756386882996	0.01664337052425002	9.2246452672572e-07	0.017476859756217048	2.9044717049743913e-06	0.017005313958008507	8.887565917034368e-06	-0.009702373511924304	-0.003942281788772443	0.0007950893039974827	9.096475664453173e-07	0.0008358263687736578	2.9392535842531605e-06	0.0008145749799199831	9.226890115226863e-06	-0.00046385007676137165	0.025650288020141188	0.03401124591871453	0.06906899610042651	0.25960984175282353	0.34150194957930274	0.3977974832646505	0.015201645575419306	0.06915769236203817	0.1635243452088601	0.014908455332464801	0.06998587550557336	0.16702378324122638
cg08037478	12	38151283.0	0.058447980358596247	0.0160692826091891	0.00029509115567312325	0.016285376200563903	0.00035431140841679187	0.012166383677271114	1.0499451806428501e-05	0.007353470849217909	0.06771357686414319	0.016010475488776987	2.6462181073549653e-05	0.01631060518107287	3.6985133598720634e-05	0.011738117116928426	2.849987916849399e-07	0.008780050245474364	0.07450335255158366	0.015055906442157456	9.550861465279435e-07	0.01589577563374324	3.382189098600125e-06	0.011903755568468646	4.2748588788618527e-08	0.009882049417985886	0.0035566825744926833	0.0007193344244324906	9.7436333116319e-07	0.0007597637684941699	3.47427501170278e-06	0.0005694209056456773	4.4914600303649685e-08	0.0004719249244127152	0.19213070833771284	0.2531108545080528	0.08409710509100021	0.21860083758152343	0.34150194957930274	0.023072533178921002	0.015201645575419306	0.07605848054992524	0.00297711093825544	0.014908455332464801	0.07812930344789368	0.0031258583959256816
cg06155341	11	66281288.0	-0.061673172302573756	0.020128241248401242	0.002264829167253402	0.01943431356528416	0.0015701833369578563	0.017745722612755505	0.0009454275241241748	-0.007072674571643511	-0.06745144797635588	0.017834062331673065	0.0001683721930091859	0.017396005553203375	0.00011523014942641369	0.015721884257382104	6.477225319219541e-05	-0.007952654631591144	-0.06304298157432023	0.013031956858322525	1.6445777893945133e-06	0.013500173557459071	3.6679712281376616e-06	0.011201176718203431	4.87627014562292e-07	-0.0074814841210640885	-0.0030076606101984106	0.0006227198292242967	1.7070802887698968e-06	0.0006449013658106607	3.7736805017933695e-06	0.0005349897233588394	4.9955885588253e-07	-0.00035710625500387164	0.3446219198007995	0.39088777471329145	0.34056987665339783	0.3352968820688399	0.5388731217446908	0.39430645009080284	0.02017264034316604	0.07814381040206564	0.024672890729446027	0.020573076402695255	0.07862313199124205	0.025276616545087265
cg21320221	17	81835121.0	-0.10662725003125983	0.021693087083997115	1.0971498343201344e-06	0.021640566053627457	1.0343044382440706e-06	0.02083750949856998	3.334433205114592e-06	-0.012049107212290779	-0.08939463051798527	0.0205379933674156	1.539798777326608e-05	0.020144161761832435	1.0514496348180253e-05	0.020429909039114708	4.8162008370891475e-05	-0.010136238742935412	-0.09036307289674142	0.018194429130849246	8.732299275903616e-07	0.019441030273026124	4.062313214134576e-06	0.019620919036503346	2.142985105488982e-05	-0.010396062384461464	-0.004326291330820655	0.0008691003700880481	8.252523530432325e-07	0.0009288702253496948	3.88470523669433e-06	0.0009378003550344007	2.0843409330890516e-05	-0.0004978122236031369	0.019309026147200304	0.020933442671287484	0.06427247028885238	0.1686712595552628	0.1702435750122179	0.3448695734934776	0.015201645575419306	0.0822177664878518	0.29911859998453333	0.014908455332464801	0.07862313199124205	0.29093302617882266
cg27615582	12	10849812.0	-0.16916060090629761	0.02762866928605117	1.5074105627940402e-09	0.029548032173847903	1.5152502668956493e-08	0.0282896531742992	1.2648367182034784e-07	-0.02764898334710485	-0.15336447325734923	0.027168120154721368	2.3766105331003614e-08	0.028816741074743316	1.3718184803666008e-07	0.027615313757979775	6.478007393583322e-07	-0.025953012230466522	-0.14486203505217832	0.027748648841443044	2.4074463458645687e-07	0.03135797080711243	4.640197131699374e-06	0.030668100662433643	1.4040973915480913e-05	-0.025210832207625312	-0.006881314728592014	0.0013278895673470657	2.9350259651081256e-07	0.0015006904203268986	5.439858147771781e-06	0.0014690574804869737	1.617409483339019e-05	-0.0012003308578093365	0.00010169569497324334	0.0010222459146413693	0.008179339305466002	0.0013743022020285196	0.00793269714197477	0.03824374708172961	0.0055106959088873685	0.08694955367651162	0.21859798247808118	0.006600270084635347	0.0917484208595627	0.2518076395747762
cg04946709	16	59755126.0	-0.09191412617775897	0.021504910431206864	2.1754718712544318e-05	0.020009717257234685	5.139747765809683e-06	0.019071751041776053	9.932050676794733e-06	-0.009879178107420217	-0.08849570246993635	0.021747854780413113	5.239929117775757e-05	0.02021142562718275	1.3722267411191718e-05	0.02009125648716365	4.352353254875288e-05	-0.009601675767343582	-0.07635227108962378	0.015965014716386786	2.1459300025969925e-06	0.016580016772334474	4.9655406874659325e-06	0.014824603779818661	2.9471306063944556e-06	-0.00806343304527432	-0.0036441461747557993	0.0007627176597334577	2.1941949303123533e-06	0.000791885851643845	5.0404680301430144e-06	0.0007077318112042153	2.9616698386651576e-06	-0.00038524067180357356	0.0682631031365878	0.047759183969539355	0.08409710509100021	0.25960984175282353	0.21363617575016988	0.3227348510693719	0.023476648222735635	0.08694955367651162	0.07455927301551044	0.023284275199876126	0.08870851176719043	0.0749271001440249
cg05389236	6	36667310.0	-0.0705589001546097	0.02330648857700994	0.0025537965132465096	0.023845883890867413	0.0031873837396120155	0.022416031779549914	0.0025462261340604346	-0.01201184514412305	-0.0487684283367445	0.01205016175398975	5.7464865646467055e-05	0.012719421249112642	0.00013701785297997685	0.012912176787613387	0.0003625394406019608	-0.008292389726112365	-0.05432706542867904	0.010827189245443573	6.767228004715054e-07	0.011798846530711681	4.980331807520139e-06	0.01143093960390451	1.2643910787858041e-05	-0.009222046590407613	-0.0025981721372252365	0.0005172085323838354	6.573388352508668e-07	0.0005627256951559437	4.694702599640251e-06	0.0005456783544096192	1.225192188495676e-05	-0.0004410447655958659	0.3554449129730106	0.45865579533287254	0.4327903959120136	0.25960984175282353	0.5388731217446908	0.6058725624381177	0.01304408977825035	0.08694955367651162	0.21325167251839758	0.012670456464254838	0.08870851176719043	0.20664040401493552
cg23058194	15	65076789.0	0.20119890464249432	0.045513557194842194	1.134735775782157e-05	0.04734991944635987	2.4253735613790638e-05	0.047233193416008165	7.198220958654264e-05	0.012984651588207528	0.2121076834497384	0.045622554969263956	3.964214872637793e-06	0.047564981251237225	9.53526756534599e-06	0.0471028892700268	3.0807214702242874e-05	0.013667995429233512	0.22371521931077237	0.04552943595058344	1.1340373243660459e-06	0.048665378666059626	5.155328381469278e-06	0.04939017735493413	2.805594852014319e-05	0.013993473875422687	0.010705046689457076	0.0021748892719717955	1.0877159572770928e-06	0.0023253451696858846	4.998922024619328e-06	0.0023582447422328926	2.7093406549665382e-05	0.0006697692332914233	0.05888740404210626	0.10143262613915165	0.1451734056729597	0.06686028286628933	0.16082142545431025	0.27109210410473866	0.016394251081030754	0.08694955367651162	0.3300473151180389	0.015724604583374765	0.08870851176719043	0.3249097191535206
cg20519581	20	50343307.0	-0.10818656333215673	0.01938169623323723	3.363454229608855e-08	0.020182097649539613	1.116325434619549e-07	0.019874970799617135	9.83545422853588e-07	-0.01828215769569271	-0.07250263125917036	0.015172345521672246	2.140234426340423e-06	0.0160927400739356	7.731970676154466e-06	0.016959597630716507	6.827821595376625e-05	-0.01228169507690597	-0.07659578953147708	0.015495679895854965	9.809671582282907e-07	0.016855150074408333	6.576002095720062e-06	0.018452923056452786	0.00010447518049543424	-0.012980261224264818	-0.0036598883079687625	0.0007402657360699341	9.76234545707805e-07	0.0008051134695911517	6.532310463745229e-06	0.0008819959793121676	0.0001049467358207635	-0.0006202505548613217	0.001361469093423761	0.005648369480020061	0.024882654181183992	0.0455963427261766	0.1422622857366288	0.39705172750179496	0.015201645575419306	0.10647415425247414	0.5766141442324382	0.014908455332464801	0.1056868049041271	0.5635648434047892
cg01527307	6	14500210.0	0.06399859368083566	0.020019573662454798	0.0014499240716101098	0.0211708898740178	0.0025914521852656754	0.02542984333970615	0.014492229365310815	0.005548954786861123	0.07940131605386251	0.019253268283641135	4.157010431038808e-05	0.020735987128683853	0.00013978274231672905	0.023657977220200153	0.0013642043713040265	0.006755041623434881	0.0918324489553187	0.01760225337220654	2.450511171664142e-07	0.020264811128708628	6.9721811903814466e-06	0.022160743639519916	0.00010697484886983764	0.007630438921065297	0.00439086766763327	0.0008408228201811844	2.3875632154712875e-07	0.0009688514938268417	6.9589967227171315e-06	0.0010607246260122035	0.00010859660061211453	0.00036482172081054177	0.3088630196868371	0.4383445956072629	0.5914708690440217	0.25397810294800055	0.5388731217446908	0.735295257030037	0.0055106959088873685	0.10831325939547187	0.5766141442324382	0.005684970594400672	0.1056868049041271	0.5635648434047892
cg06433350	11	3093785.0	-0.06601960738759027	0.015190213318883808	1.583137115092069e-05	0.015464357700999461	2.2231234624584956e-05	0.016234583596166263	0.00013898022890583686	-0.011264386666295974	-0.04045088983052904	0.010604044384074864	0.00014806972080325912	0.011007594904181725	0.0002556921661423471	0.012129565668171442	0.0014555899416528887	-0.006894325429117668	-0.04424097507997353	0.008955274984420463	9.947738503191643e-07	0.009781906591566384	7.26208624958744e-06	0.011763368192223875	0.0003818837792197307	-0.007529413178554992	-0.002117167714579488	0.00042784793151593597	9.552521704126714e-07	0.00046744692070062023	7.0495641674957484e-06	0.0005621718675900678	0.00037557283471774915	-0.00036032395882566205	0.06417862371385692	0.09573218984088694	0.1862809072754681	0.3352968820688399	0.574999122708876	0.7395670397022769	0.015201645575419306	0.10831325939547187	0.7850707771778709	0.014908455332464801	0.1056868049041271	0.7876968847438065
cg24167372	5	147509065.0	0.11256304705273462	0.0216712568995803	2.6755326613898156e-07	0.022701064665110918	8.854820452025222e-07	0.022717589359226693	6.061036294477596e-06	0.018600721231944766	0.11872650871227525	0.021782929587596426	6.907042486032977e-08	0.023420616825225057	5.081819016645196e-07	0.02276286636834348	2.3104401114792545e-06	0.019642998636781834	0.1163594691409365	0.02290646723657637	4.949888450093145e-07	0.025766520978294443	7.492338519832139e-06	0.025607524284720913	2.6660965722159463e-05	0.019266543929251465	0.005554502885457054	0.0010942915680500409	5.047910888926677e-07	0.0012324217394457113	7.804665516174986e-06	0.0012253503498049984	2.7716273780922135e-05	0.0009196219748212799	0.006016722984863076	0.018864635721221712	0.07000425641337099	0.0027958533786238866	0.01870030860922448	0.06680191997463622	0.010018153482470269	0.10831325939547187	0.3300473151180389	0.010216542566762035	0.1111668418917414	0.3249097191535206
